Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 01:46:30,0.990833,3196MiB / 15707MiB,17.76MB/7.22MB,1.22MB/0.27MB
2025-08-22 01:46:34,11.005,3137MiB / 15707MiB,17.77MB/7.22MB,1.20MB/0.31MB
2025-08-22 01:46:38,9.12167,3297MiB / 15707MiB,17.80MB/7.26MB,1.20MB/0.28MB
2025-08-22 01:46:42,0.5825,3333MiB / 15707MiB,17.82MB/7.26MB,1.20MB/0.27MB
2025-08-22 01:46:46,0.748333,3337MiB / 15707MiB,17.85MB/7.27MB,1.19MB/0.89MB
2025-08-22 01:46:50,3.51083,3198MiB / 15707MiB,17.86MB/7.28MB,1.19MB/0.48MB
2025-08-22 01:46:54,7.8,3229MiB / 15707MiB,17.88MB/7.28MB,1.19MB/0.36MB
2025-08-22 01:46:58,2.80833,3290MiB / 15707MiB,17.90MB/7.30MB,1.19MB/0.59MB
2025-08-22 01:47:02,6.61167,3302MiB / 15707MiB,17.91MB/7.30MB,1.18MB/0.28MB
2025-08-22 01:47:06,0.751667,3307MiB / 15707MiB,17.93MB/7.31MB,1.18MB/0.37MB
2025-08-22 01:47:10,10.8767,3187MiB / 15707MiB,17.94MB/7.31MB,1.18MB/0.28MB
2025-08-22 01:47:14,0.495833,3188MiB / 15707MiB,17.95MB/7.31MB,1.17MB/0.28MB
2025-08-22 01:47:18,0.663333,3183MiB / 15707MiB,17.96MB/7.32MB,1.17MB/0.35MB
2025-08-22 01:47:22,0.576667,3185MiB / 15707MiB,17.98MB/7.32MB,1.17MB/0.28MB
2025-08-22 01:47:26,0.25,3179MiB / 15707MiB,17.99MB/7.33MB,1.17MB/0.61MB
2025-08-22 01:47:30,0.495,3179MiB / 15707MiB,18.00MB/7.33MB,1.16MB/0.36MB
2025-08-22 01:47:34,0.334167,3144MiB / 15707MiB,18.00MB/7.33MB,1.16MB/0.32MB
2025-08-22 01:47:38,0.25,3144MiB / 15707MiB,18.01MB/7.33MB,1.16MB/0.28MB
2025-08-22 01:47:42,0.3325,3143MiB / 15707MiB,18.03MB/7.33MB,1.16MB/0.30MB
2025-08-22 01:47:46,0.415,3161MiB / 15707MiB,18.04MB/7.33MB,1.15MB/0.64MB
2025-08-22 01:47:50,0.9025,3159MiB / 15707MiB,18.05MB/7.33MB,1.15MB/0.48MB
2025-08-22 01:47:54,0.6675,3159MiB / 15707MiB,18.06MB/7.33MB,1.15MB/0.28MB
2025-08-22 01:47:58,0,3159MiB / 15707MiB,18.07MB/7.34MB,1.15MB/0.27MB
2025-08-22 01:48:02,8.18333,3203MiB / 15707MiB,18.09MB/7.34MB,1.14MB/0.49MB
2025-08-22 01:48:06,2.93,3200MiB / 15707MiB,18.10MB/7.34MB,1.14MB/0.43MB
2025-08-22 01:48:10,4.0125,3200MiB / 15707MiB,18.11MB/7.34MB,1.14MB/0.27MB
2025-08-22 01:48:14,1.405,3208MiB / 15707MiB,18.13MB/7.35MB,1.14MB/0.39MB
2025-08-22 01:48:18,3.11833,3198MiB / 15707MiB,18.15MB/7.36MB,1.13MB/0.36MB
2025-08-22 01:48:22,1.17083,3148MiB / 15707MiB,18.17MB/7.37MB,1.13MB/0.51MB
2025-08-22 01:48:26,2.36167,3154MiB / 15707MiB,18.18MB/7.37MB,1.13MB/0.37MB
2025-08-22 01:48:31,0.413333,3155MiB / 15707MiB,18.19MB/7.37MB,1.13MB/0.77MB
2025-08-22 01:48:35,0.660833,3122MiB / 15707MiB,18.20MB/7.38MB,1.13MB/0.57MB
