Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 00:39:10,89.34,1190MiB / 3911MiB,216.61MB/4.91MB,1.86MB/1.19MB
2025-08-22 00:39:14,100,434MiB / 3911MiB,216.61MB/4.91MB,1.64MB/1.18MB
2025-08-22 00:39:18,100,397MiB / 3911MiB,216.61MB/4.91MB,1.61MB/1.18MB
2025-08-22 00:39:22,100,873MiB / 3911MiB,216.61MB/4.91MB,1.58MB/1.13MB
2025-08-22 00:39:26,100,1192MiB / 3911MiB,216.61MB/4.91MB,1.55MB/1.11MB
2025-08-22 00:39:30,100,973MiB / 3911MiB,216.61MB/4.91MB,1.52MB/1.09MB
2025-08-22 00:39:35,100,1193MiB / 3911MiB,216.61MB/4.91MB,1.49MB/1.07MB
2025-08-22 00:39:39,100,1192MiB / 3911MiB,216.61MB/4.91MB,1.47MB/1.05MB
2025-08-22 00:39:43,100,1209MiB / 3911MiB,216.61MB/4.91MB,1.44MB/1.13MB
2025-08-22 00:39:47,100,1209MiB / 3911MiB,216.61MB/4.91MB,1.42MB/1.01MB
2025-08-22 00:39:51,100,1224MiB / 3911MiB,216.61MB/4.91MB,1.39MB/0.99MB
2025-08-22 00:39:55,100,1224MiB / 3911MiB,216.61MB/4.91MB,1.37MB/0.98MB
2025-08-22 00:39:59,100,1224MiB / 3911MiB,216.61MB/4.91MB,1.35MB/0.96MB
2025-08-22 00:40:03,100,1225MiB / 3911MiB,216.61MB/4.91MB,1.33MB/0.95MB
