Timestamp,CPU(%),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 00:41:10,99.5,168MiB / 3911MiB,216.62MB/4.92MB,1.06MB/57.58MB
2025-08-22 00:41:14,35.87,167MiB / 3911MiB,216.62MB/4.92MB,1.04MB/238.32MB
2025-08-22 00:41:18,0,167MiB / 3911MiB,216.62MB/4.92MB,1.03MB/9.09MB
2025-08-22 00:41:33,15.625,170MiB / 3911MiB,216.62MB/4.92MB,0.99MB/12.31MB
2025-08-22 00:41:37,0,170MiB / 3911MiB,216.62MB/4.92MB,0.98MB/12.16MB
2025-08-22 00:41:41,95.495,169MiB / 3911MiB,216.62MB/4.92MB,0.96MB/45.71MB
2025-08-22 00:41:46,7.34,222MiB / 3911MiB,216.62MB/4.92MB,0.95MB/51.42MB
2025-08-22 00:41:50,5.435,172MiB / 3911MiB,216.62MB/4.92MB,0.94MB/19.29MB
2025-08-22 00:41:54,0.5,173MiB / 3911MiB,216.62MB/4.92MB,0.93MB/19.08MB
2025-08-22 00:41:58,0.495,174MiB / 3911MiB,216.62MB/4.92MB,0.92MB/18.87MB
2025-08-22 00:42:02,0,174MiB / 3911MiB,216.62MB/4.92MB,0.91MB/18.67MB
2025-08-22 00:42:06,34.23,171MiB / 3911MiB,216.62MB/4.92MB,0.90MB/20.53MB
