Timestamp,CPU(% per core),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 06:58:59,9.76,,71.55MiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:59:02,5.08,,82.52MiB / 15.34GiB,35.1MB / 1.45GB,10.9MB / 14.6GB
2025-08-22 06:59:04,1.71,,88.43MiB / 15.34GiB,35.1MB / 1.45GB,13.2MB / 14.6GB
2025-08-22 06:59:07,0.06,,88.23MiB / 15.34GiB,35.1MB / 1.45GB,33.6MB / 14.6GB
2025-08-22 06:59:09,0.29,,94.72MiB / 15.34GiB,35.1MB / 1.45GB,70.6MB / 14.6GB
2025-08-22 06:59:12,0.33,,99.46MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 14.9GB
2025-08-22 06:59:15,0.42,,99.46MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 15.2GB
2025-08-22 06:59:17,4.43,,70.79MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 15.5GB
2025-08-22 06:59:20,3.01,,79.64MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 15.6GB
2025-08-22 06:59:22,3.39,,89.1MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 15.8GB
2025-08-22 06:59:25,0.57,,89.8MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 16.1GB
2025-08-22 06:59:27,0.15,,89.8MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 16.3GB
2025-08-22 06:59:30,3.06,,69.52MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 16.6GB
2025-08-22 06:59:32,2.09,,89.84MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 16.8GB
2025-08-22 06:59:35,0.39,,89.8MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 17GB
2025-08-22 06:59:37,3.68,,81.55MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 17.2GB
2025-08-22 06:59:40,2.52,,89.73MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 17.4GB
2025-08-22 06:59:42,0.25,,89.55MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 17.6GB
2025-08-22 06:59:45,0.42,,89.55MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 17.8GB
2025-08-22 06:59:48,4.14,,86.83MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 18.1GB
2025-08-22 06:59:50,0.33,,89.54MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 18.3GB
2025-08-22 06:59:53,0.41,,89.54MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 18.5GB
2025-08-22 06:59:55,3.13,,82MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 18.7GB
2025-08-22 06:59:58,1.58,,89.35MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 19GB
2025-08-22 07:00:00,0.29,,89.29MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 19.1GB
2025-08-22 07:00:03,0.32,,89.29MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 19.4GB
2025-08-22 07:00:05,0.23,,61.13MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 19.6GB
2025-08-22 07:00:08,0.42,,61.13MiB / 15.34GiB,35.1MB / 1.45GB,88.5MB / 20GB
