Timestamp,CPU(% per core),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 08:11:30,0.37,,31.4MiB , 15.34GiB,35.4MB 
2025-08-22 08:11:34,0.02,,31.31MiB , 15.34GiB,36.1MB 
2025-08-22 08:11:37,0.04,,31.31MiB , 15.34GiB,36.9MB 
2025-08-22 08:11:40,0.04,,31.31MiB , 15.34GiB,37.6MB 
2025-08-22 08:11:42,0.08,,31.32MiB , 15.34GiB,38.3MB 
2025-08-22 08:11:45,0.04,,31.32MiB , 15.34GiB,39.1MB 
2025-08-22 08:11:47,0.07,,31.32MiB , 15.34GiB,39.8MB 
2025-08-22 08:11:50,0.02,,31.32MiB , 15.34GiB,40.6MB 
2025-08-22 08:11:52,0.11,,31.33MiB , 15.34GiB,41.3MB 
2025-08-22 08:11:55,0.11,,31.45MiB , 15.34GiB,42MB 
2025-08-22 08:11:57,0.04,,31.33MiB , 15.34GiB,42.8MB 
2025-08-22 08:12:00,0.11,,31.34MiB , 15.34GiB,43.5MB 
2025-08-22 08:12:02,0.11,,31.34MiB , 15.34GiB,44.3MB 
2025-08-22 08:12:05,0.08,,31.34MiB , 15.34GiB,45MB 
2025-08-22 08:12:07,0.02,,31.34MiB , 15.34GiB,45.8MB 
2025-08-22 08:12:10,0.08,,31.34MiB , 15.34GiB,46.5MB 
2025-08-22 08:12:13,0.04,,31.35MiB , 15.34GiB,47.2MB 
2025-08-22 08:12:15,0.10,,31.35MiB , 15.34GiB,48MB 
2025-08-22 08:12:18,0.02,,31.35MiB , 15.34GiB,48.7MB 
2025-08-22 08:12:20,0.08,,31.36MiB , 15.34GiB,49.5MB 
2025-08-22 08:12:23,0.02,,31.36MiB , 15.34GiB,50.2MB 
2025-08-22 08:12:25,0.02,,31.36MiB , 15.34GiB,50.9MB 
2025-08-22 08:12:28,0.02,,31.36MiB , 15.34GiB,51.7MB 
2025-08-22 08:12:30,0.02,,31.36MiB , 15.34GiB,52.4MB 
