Timestamp,CPU(% per core),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 08:12:32,26.03,,1.036GiB , 15.34GiB,52.7MB 
2025-08-22 08:12:35,32.41,,942.6MiB , 15.34GiB,52.7MB 
2025-08-22 08:12:37,29.15,,1.034GiB , 15.34GiB,52.7MB 
2025-08-22 08:12:40,30.56,,1.039GiB , 15.34GiB,52.7MB 
2025-08-22 08:12:42,33.46,,1.02GiB , 15.34GiB,52.7MB 
2025-08-22 08:12:45,33.41,,985.2MiB , 15.34GiB,52.7MB 
2025-08-22 08:12:47,33.28,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:12:50,33.44,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:12:53,33.46,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:12:55,33.52,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:12:58,33.36,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:00,33.44,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:03,33.24,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:05,33.25,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:08,33.44,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:10,33.41,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:13,33.33,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:15,33.44,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:18,32.92,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:20,33.16,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:23,32.89,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:26,32.65,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:28,33.08,,1.044GiB , 15.34GiB,52.7MB 
2025-08-22 08:13:31,33.30,,1.044GiB , 15.34GiB,52.7MB 
