Timestamp,CPU(% per core),Memory(RAM),Net I/O(RX/Tx),Block I/O(Read/Write)
2025-08-22 07:00:11,66.55,,48.41MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:14,66.77,,48.41MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:17,66.97,,48.25MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:19,66.88,,48.25MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:22,66.72,,48.25MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:24,66.77,,48.25MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:27,66.71,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:29,66.61,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:32,66.72,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:34,66.72,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:37,66.66,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:39,66.76,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:42,66.77,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:45,66.61,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:47,66.77,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:50,66.77,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:52,66.65,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:55,66.77,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:00:57,66.82,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:01:00,66.83,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:01:02,66.71,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:01:05,66.70,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
2025-08-22 07:01:07,66.76,,48.16MiB / 15.34GiB,35.1MB / 1.45GB,89.3MB / 20.2GB
